Game #	df-opt	a-star	df-search
18150	99	103	75
13464	122	122	76
9998	122	103	77
27853	148	104	81
30849	109	124	81
17871	150	97	83
3250	140	127	85
31316	116	107	87
5814	150	117	88
6893	121	104	88
22663	138	144	89
3178	155	110	90
7807	131	122	90
15196	115	128	90
21657	141	125	90
25001	135	119	90
8471	106	128	91
30329	160	126	91
30584	139	105	91
5907	127	131	92
26719	113	131	92
5055	139	124	93
11863	111	141	94
12392	137	133	94
164	143	125	95
19951	162	124	96
14826	136	122	97
2508	120	121	102
14014	169	143	105
1150	138	132	106
24176	133	143	108
12676	130	117	109
5213	155	130	110
7058	164	137	117
1012	142	129	142
