Game #	df-opt	a-star	df-search	
5557	103	102	90	
8749	130	121	95	
1941	108	104	96	
12445	135	122	97	
21785	150	103	101	
21283	133	124	101	
8710	153	127	105	
6182	148	164	105	
21365	136	132	105	
31729	109	121	107	
25206	129	136	108	
13867	143	144	111	
6837	161	128	112	
454	144	148	114	
18938	191	146	115	
18992	139	149	116
617	163	148	116
25995	158	127	117
28588	150	113	118
30663	164	148	119
665	153	136	123
3232	133	129	129
12313	152	142	133
29198	138	129	134
1617	155	144	136
25856	124	137	138
5964	152	137	138
15227	148	125	141
3699	176	135	141
14548	234	133	141
178	158	136	142
285	138	129	142	
4941	128	158	143	
661	183	142	144	
3772	141	127	145	
718	158	146	146	
7303	161	137	147	

10692	163	152	Fail	197 with depth 200
				168 if run to completion
13304	166	161	Fail	151 with limit 200
				151 if run to completion
