df-opt	a-star	df-search	
158	121	77	
120	128	79	
166	127	80	
106	108	81	
128	106	83	
138	115	84	
196	119	86	
121	146	86	
128	154	87	
138	120	89	
138	129	89	
143	109	90	
126	144	90	
118	147	90	
127	110	91	
115	128	93
147	139	94
146	125	95
129	135	96
120	130	97
120	110	99
153	133	99
147	132	100
146	119	102
160	125	103
159	115	104
153	117	104
144	127	105
130	118	107
139	118	108
144	119	108
142	131	108
124	120	111
143	126	112
140	137	113
208	136	114
141	138	114
117	117	116
133	127	116
148	128	116
131	125	121
119	109	122
142	124	124
139	127	130
151	139	136
162	140	137
164	162	142
241	136	144	"139, with limit 140"
157	124	145	115 with limit of 130
153	140	145	

155	140	168	"Failed, but was successful with limit of 200"
174	165	107	"Failed, but was successful if run to completion"
		163	Same game with limit of 200
